from_stop_id,to_stop_id,transfer_type,min_transfer_time
4301,4243,0,
4301,4301,0,
4301,4191,0,
4143,451,2,120
4143,452,2,120
4143,1775,2,120
4143,10873,2,120
4143,4143,2,120
4143,4381,2,120
4143,4119,2,120
4143,4067,2,120
4143,4163,2,120
4143,1761,2,120
4143,4474,2,120
4263,4263,0,
4345,4346,2,480
4346,4419,2,480
4346,4346,0,
4346,4347,2,600
6541,11295,2,420
6541,8650,2,300
6541,6607,2,300
6541,6512,0,
6541,6753,2,360
6541,6610,2,360
6541,6541,0,
6541,2092,0,
6541,11243,2,420
6587,6908,2,300
6587,6808,0,
6590,9580,0,
6590,9564,0,
6600,6895,2,300
6600,6881,0,
6603,6684,0,
6603,6634,2,300
6605,6608,2,420
8324,6631,2,360
8324,6610,2,420
6610,8650,2,480
6610,6607,2,360
6610,6512,2,360
6610,6753,0,
6610,6610,2,900
6631,6631,0,
6637,6895,0,
6637,6881,0,
6646,9580,0,
6646,9564,0,
6648,6908,0,
6648,6808,0,
6483,6483,0,
6566,6486,0,
6566,11208,0,
6566,6802,0,
6572,9634,0,
4917,4847,2,300
4917,4918,2,360
8283,6781,2,600
8283,8484,2,420
8283,8483,2,360
4929,4929,0,
4933,5615,0,
4933,5567,0,
4936,6081,0,
4936,11121,0,
4936,4922,0,
8490,6482,2,360
8490,6578,2,360
12230,11941,0,
12230,8033,0,
12230,10860,0,
12230,12022,0,
12230,12020,0,
12230,11942,0,
12230,3217,2,420
12230,11940,0,
12228,3092,2,480
12228,3243,2,300
12228,11786,2,480
12234,3906,0,
12234,3334,0,
12234,7643,0,
12234,8021,0,
12234,8032,0,
12234,8998,0,
12234,3927,0,
12234,3904,0,
12234,3769,2,300
12234,3533,0,
12234,3204,0,
12234,3067,0,
12234,3195,0,
12234,3053,0,
12234,3394,0,
6080,5553,0,
6080,4845,0,
6080,5093,0,
6080,5244,0,
6080,4939,0,
6080,5230,2,120
6080,6080,0,
4925,5615,2,360
4925,5567,2,360
4928,4928,0,
4928,9961,0,
8282,8485,2,360
8282,6706,2,300
8282,8283,2,480
6455,5553,2,120
6455,4845,0,
6455,5093,0,
6455,5997,2,120
6455,5244,0,
6455,4939,0,
